amount_due,due_in_30_days,due_in_60_days,due_in_90_days,due_in_120_days,due_in_150_days,due_in_180_days,due_in_210_days,card_number,data_pull_date
560164,1219813,797460,1003874,1670529,1312025,439164,640396,71,2025-02-18
189313,669846,216645,2130939,166784,139758,146127,615356,72,2025-02-18
641101,873049,745431,258135,579491,841943,159681,411444,73,2025-02-18
46326,14666,131159,195859,15529,15816,54386,44631,74,2025-02-18
91526,14666,251709,231220,1703911,1111885,42734,97382,75,2025-02-18
216810,89664,75245,78025,164574,116588,256696,16535,76,2025-02-18
54578,27939,128670,198591,74428,15816,16104,91909,77,2025-02-18
169506,69924,203263,165679,101319,78183,191999,120386,78,2025-02-18
59221,94986,145407,88083,15529,43786,177089,114928,79,2025-02-18
611639,457636,969179,1161066,576961,482426,673475,398387,80,2025-02-18
76414,111349,128203,258656,85538,16843,84712,69297,81,2025-02-18
89921,41988,239066,215293,102303,15816,16104,175873,82,2025-02-18
94318,89327,37372,143133,15529,40182,34663,186957,83,2025-02-18
41396,14666,45675,128843,15529,21431,174069,62970,84,2025-02-18
419135,1294724,526856,2675523,586878,646741,1721532,709030,85,2025-02-18
948859,772310,2802085,1110358,822267,990484,639158,778270,86,2025-02-18
161977,118721,91360,304493,42140,291300,191237,134370,87,2025-02-18
470242,332204,805262,710955,419980,616366,941231,1093078,88,2025-02-18
111004,15299,117198,225235,15529,77120,83656,129848,89,2025-02-18
68430,71871,117522,112020,196962,226227,120402,132264,90,2025-02-18
63355,51897,224276,303671,15529,97399,186568,88412,91,2025-02-18
14379,14666,104352,141749,15529,15816,58501,16535,92,2025-02-18
783000,487317,738022,1105112,882584,677165,814023,933069,93,2025-02-18
358097,624089,827739,1028782,589611,796082,592621,581392,94,2025-02-18
65519,14666,130330,118996,135874,127850,64113,16535,95,2025-02-18
14379,14666,36595,54693,15529,15816,64333,16535,96,2025-02-18
814288,586046,597060,882605,850221,670414,809217,2227196,97,2025-02-18
532523,245914,1030170,985773,697550,977364,2258611,783768,98,2025-02-18
124573,569969,655147,2703640,2020737,2555720,186293,610095,99,2025-02-18
